,earbuds_name,earbuds_price,earbuds_offer
0,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...","<div class=""_30jeq3"">₹999</div>",<span>66% off</span>
1,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...","<div class=""_30jeq3"">₹999</div>",<span>66% off</span>
2,Noise Buds VS102 Truly Wireless Bluetooth Headset,"<div class=""_30jeq3"">₹899</div>",<span>70% off</span>
3,"GOVO GOBUDS 920, 30Hrs Battery, IPX5, 3D Sound, Touch C...","<div class=""_30jeq3"">₹2,499</div>",<span>60% off</span>
4,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...","<div class=""_30jeq3"">₹999</div>",<span>66% off</span>
5,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...","<div class=""_30jeq3"">₹1,499</div>",<span>72% off</span>
6,boAt Bassheads 100 Wired Headset,"<div class=""_30jeq3"">₹349</div>",<span>65% off</span>
7,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,"<div class=""_30jeq3"">₹1,099</div>",<span>78% off</span>
8,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,"<div class=""_30jeq3"">₹1,299</div>",<span>78% off</span>
9,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...","<div class=""_30jeq3"">₹999</div>",<span>66% off</span>
10,Mivi DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,"<div class=""_30jeq3"">₹1,199</div>",<span>60% off</span>
11,"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Typ...","<div class=""_30jeq3"">₹1,199</div>",<span>80% off</span>
12,OPPO Enco Buds With 24 hours Battery Life Bluetooth Hea...,"<div class=""_30jeq3"">₹1,599</div>",<span>60% off</span>
13,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...","<div class=""_30jeq3"">₹1,399</div>",<span>74% off</span>
14,truke BTG3 Gaming earbuds with 55ms Low Latency | Auto ...,"<div class=""_30jeq3"">₹999</div>",<span>66% off</span>
15,Mivi DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,"<div class=""_30jeq3"">₹1,199</div>",<span>60% off</span>
16,OPPO Enco Buds With 24 hours Battery Life Bluetooth Hea...,"<div class=""_30jeq3"">₹1,599</div>",<span>60% off</span>
17,boAt Airdopes 381 with ASAP charge Bluetooth Headset,"<div class=""_30jeq3"">₹1,699</div>",<span>65% off</span>
18,OPPO Enco M32 Bluetooth Headset,"<div class=""_30jeq3"">₹1,599</div>",<span>46% off</span>
19,"truke Buds F1 with 38H Playtime, Dual Mic ENC, Instant ...","<div class=""_30jeq3"">₹999</div>",<span>60% off</span>
20,realme Buds Q2 Neo with Environment Noise Cancellation ...,"<div class=""_30jeq3"">₹1,399</div>",<span>44% off</span>
21,"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast C...","<div class=""_30jeq3"">₹1,099</div>",<span>68% off</span>
22,OPPO Enco M32 Bluetooth Headset,"<div class=""_30jeq3"">₹1,599</div>",<span>46% off</span>
23,"GOVO GOBUDS621, 20Hrs Battery, IPX4, Rich Sound, Touch ...","<div class=""_30jeq3"">₹1,499</div>",<span>66% off</span>
24,Nothing ear (1) Bluetooth Headset,"<div class=""_30jeq3"">₹4,999</div>",<span>41% off</span>
25,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,"<div class=""_30jeq3"">₹1,299</div>",<span>78% off</span>
26,boAt Airdopes 161 with 17 Hours Battery and Fast Charge...,"<div class=""_30jeq3"">₹1,399</div>",<span>43% off</span>
27,"Boult Audio Airbass XPods Pro with 20 hrs Playtime, Typ...","<div class=""_30jeq3"">₹1,199</div>",<span>80% off</span>
28,HOPPUP GRAND With Power Bank Function & Upto 75 Hours P...,"<div class=""_30jeq3"">₹645</div>",<span>78% off</span>
29,Oxhox Air Tune Real Buds True Wireless Bluetooth Headse...,"<div class=""_30jeq3"">₹410</div>",<span>68% off</span>
30,"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast C...","<div class=""_30jeq3"">₹1,099</div>",<span>68% off</span>
31,"Noise Air Buds Pro with Active Noise Cancellation, Quad...","<div class=""_30jeq3"">₹2,499</div>",<span>68% off</span>
32,"boAt Airdopes 131 with upto 15 Hours Playback, 13mm Dri...","<div class=""_30jeq3"">₹1,299</div>",<span>56% off</span>
33,blue seed BBD S-19 Sport Fitness Earbuds Bluetooth Head...,"<div class=""_30jeq3"">₹495</div>",<span>69% off</span>
34,boAt Bassheads 242 Wired Headset,"<div class=""_30jeq3"">₹569</div>",<span>61% off</span>
35,GOVO GOBUDS 600 with 33Hrs Battery and ASAP Charge Blue...,"<div class=""_30jeq3"">₹1,599</div>",<span>58% off</span>
36,"Noise Buds VS202 with 13mm driver,Hyper Sync and Fast C...","<div class=""_30jeq3"">₹1,099</div>",<span>68% off</span>
37,Grostar Moonwalk Mini in Ear True Wireless Bluetooth Ea...,"<div class=""_30jeq3"">₹494</div>",<span>75% off</span>
38,truke Buds Q1 with Quad Mic ENC | 48Hrs Playtime | 10mm...,"<div class=""_30jeq3"">₹1,199</div>",<span>65% off</span>
39,FUR JADEN AirJams GameX Bluetooth 5.2 Gaming Headphone ...,"<div class=""_30jeq3"">₹999</div>",<span>66% off</span>
